,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
32,0.35,0.2,0.1,0.062,0.033,1.276,0.028,0.798,1.142,106095.283,0.048,1024,1.061,0.048,0.607
33,0.35,0.3,0.1,0.067,0.042,1.147,0.039,0.753,1.043,106622.109,0.058,934,1.066,0.058,0.535
34,0.35,0.4,0.1,0.036,0.043,0.608,0.04,0.234,0.328,103552.886,0.061,884,1.036,0.061,0.482
35,0.35,0.5,0.1,0.05,0.044,0.78,0.037,0.427,0.626,104901.907,0.065,840,1.049,0.065,0.457
36,0.45,0.2,0.1,0.069,0.038,1.285,0.039,0.852,1.193,106786.794,0.053,986,1.068,0.053,0.633
37,0.45,0.3,0.1,0.061,0.045,0.98,0.041,0.613,0.841,106015.528,0.062,892,1.06,0.062,0.561
38,0.45,0.4,0.1,0.025,0.048,0.409,0.042,0.065,0.09,102497.589,0.066,840,1.025,0.066,0.505
39,0.45,0.5,0.1,0.037,0.048,0.562,0.043,0.234,0.336,103695.131,0.069,798,1.037,0.069,0.481
40,0.05,0.2,0.15,0.008,0.014,0.37,0.013,-0.61,-0.979,100830.633,0.023,964,1.008,0.023,0.266
41,0.05,0.3,0.15,0.011,0.015,0.417,0.017,-0.43,-0.751,101082.251,0.027,946,1.011,0.027,0.224
42,0.05,0.4,0.15,0.012,0.016,0.426,0.019,-0.349,-0.644,101206.152,0.029,940,1.012,0.029,0.204
43,0.05,0.5,0.15,0.024,0.016,0.745,0.02,0.046,0.093,102383.676,0.033,928,1.024,0.033,0.196
44,0.15,0.2,0.15,0.019,0.022,0.603,0.03,-0.094,-0.14,101920.894,0.033,916,1.019,0.033,0.437
45,0.15,0.3,0.15,0.051,0.023,1.339,0.029,0.736,1.2,105071.022,0.038,884,1.051,0.038,0.387
46,0.15,0.4,0.15,0.062,0.024,1.484,0.029,0.926,1.578,106105.418,0.041,860,1.061,0.041,0.349
47,0.15,0.5,0.15,0.061,0.024,1.4,0.032,0.87,1.53,106057.622,0.043,840,1.061,0.043,0.324
48,0.25,0.2,0.15,0.012,0.028,0.321,0.043,-0.261,-0.359,101177.723,0.039,872,1.012,0.039,0.544
49,0.25,0.3,0.15,0.066,0.03,1.455,0.044,0.942,1.415,106510.759,0.044,820,1.065,0.044,0.502
50,0.25,0.4,0.15,0.065,0.031,1.358,0.045,0.872,1.333,106401.49,0.047,786,1.064,0.047,0.461
51,0.25,0.5,0.15,0.069,0.031,1.376,0.047,0.915,1.458,106844.267,0.049,764,1.068,0.049,0.432
52,0.35,0.2,0.15,0.028,0.034,0.605,0.041,0.118,0.161,102734.203,0.047,846,1.027,0.047,0.605
53,0.35,0.3,0.15,0.072,0.035,1.405,0.042,0.951,1.373,107120.793,0.05,788,1.071,0.05,0.556
54,0.35,0.4,0.15,0.067,0.037,1.245,0.041,0.818,1.197,106665.318,0.053,748,1.067,0.053,0.511
55,0.35,0.5,0.15,0.082,0.037,1.423,0.038,1.018,1.55,108089.027,0.056,724,1.081,0.056,0.486
56,0.45,0.2,0.15,-0.01,0.04,-0.156,0.048,-0.59,-0.773,99056.859,0.052,824,0.991,0.052,0.621
57,0.45,0.3,0.15,0.029,0.041,0.533,0.045,0.128,0.174,102855.435,0.056,762,1.029,0.056,0.575
58,0.45,0.4,0.15,0.018,0.043,0.326,0.047,-0.055,-0.076,101769.96,0.06,722,1.018,0.06,0.529
59,0.45,0.5,0.15,0.031,0.044,0.515,0.048,0.152,0.216,103053.669,0.063,698,1.031,0.063,0.504
60,0.05,0.2,0.2,-0.01,0.012,-0.548,0.023,-1.787,-2.759,98987.918,0.018,686,0.99,0.018,0.248
61,0.05,0.3,0.2,0.006,0.012,0.292,0.022,-0.752,-1.347,100610.129,0.022,682,1.006,0.022,0.223
62,0.05,0.4,0.2,0.008,0.012,0.347,0.02,-0.594,-1.174,100808.043,0.024,670,1.008,0.024,0.203
63,0.05,0.5,0.2,0.012,0.012,0.467,0.021,-0.393,-0.845,101200.459,0.026,666,1.012,0.026,0.195
64,0.15,0.2,0.2,-0.002,0.02,-0.067,0.034,-0.822,-1.25,99755.167,0.03,656,0.998,0.03,0.421
65,0.15,0.3,0.2,0.049,0.02,1.393,0.019,0.734,1.281,104834.725,0.035,640,1.048,0.035,0.391
66,0.15,0.4,0.2,0.061,0.02,1.594,0.019,0.986,1.812,106026.845,0.037,622,1.06,0.037,0.357
67,0.15,0.5,0.2,0.063,0.021,1.535,0.02,0.965,1.871,106185.071,0.04,608,1.062,0.04,0.329
68,0.25,0.2,0.2,-0.008,0.025,-0.195,0.027,-0.825,-1.182,99237.944,0.036,634,0.992,0.036,0.508
69,0.25,0.3,0.2,0.042,0.025,1.035,0.019,0.468,0.741,104131.374,0.04,612,1.041,0.04,0.467
70,0.25,0.4,0.2,0.061,0.026,1.419,0.019,0.884,1.451,106076.465,0.043,590,1.061,0.043,0.444
71,0.25,0.5,0.2,0.071,0.027,1.527,0.021,1.028,1.769,107053.254,0.046,578,1.071,0.046,0.419
72,0.35,0.2,0.2,-0.025,0.031,-0.581,0.042,-1.127,-1.506,97539.572,0.042,614,0.975,0.042,0.573
73,0.35,0.3,0.2,0.021,0.031,0.489,0.029,-0.014,-0.02,102117.53,0.045,584,1.021,0.045,0.534
74,0.35,0.4,0.2,0.045,0.032,0.944,0.028,0.466,0.694,104442.621,0.048,562,1.044,0.048,0.509
75,0.35,0.5,0.2,0.057,0.032,1.104,0.027,0.656,1.027,105590.847,0.051,548,1.056,0.051,0.482
76,0.45,0.2,0.2,-0.021,0.035,-0.436,0.04,-0.933,-1.206,97937.127,0.046,600,0.979,0.046,0.607
77,0.45,0.3,0.2,0.006,0.037,0.139,0.027,-0.317,-0.434,100566.831,0.05,568,1.006,0.05,0.556
78,0.45,0.4,0.2,0.013,0.038,0.264,0.031,-0.169,-0.234,101250.456,0.053,548,1.013,0.053,0.518
79,0.45,0.5,0.2,0.024,0.039,0.442,0.033,0.035,0.052,102328.682,0.056,534,1.023,0.056,0.491
80,0.05,0.2,0.25,-0.017,0.01,-1.088,0.023,-2.568,-3.881,98341.084,0.015,484,0.983,0.015,0.269
81,0.05,0.3,0.25,-0.011,0.01,-0.597,0.022,-1.83,-3.271,98894.949,0.018,478,0.989,0.018,0.226
82,0.05,0.4,0.25,-0.005,0.01,-0.229,0.016,-1.349,-2.657,99518.501,0.02,472,0.995,0.02,0.22
